"mean","t_ic_i","t_ic_s","median","w_ic_i","w_ic_s","count"
31.606852722623,31.0413970000794,32.1723084451665,31.4348205987661,30.9408337056438,31.928292900447,135
31.5578389082466,30.9863173310174,32.1293604854758,31.3750846740989,30.9041518875712,31.8641798284857,133
31.7507487663565,31.2061915214786,32.2953060112344,31.4657785898117,31.0011986661283,31.967789654425,131
31.6916357203588,31.1443466298061,32.2389248109115,31.4059732744,30.9337950450733,31.8976304382709,131
31.6627950740908,31.124515719426,32.2010744287557,31.4066768659394,30.951117214956,31.9041933009658,131
31.5237669422015,31.015426657711,32.0321072266921,31.3028255181878,30.8472826424309,31.7698640120478,131
31.4582810523992,30.967783259723,31.9487788450754,31.2690402525653,30.8210758773463,31.7628211610562,130
31.4127789209798,30.9118175519667,31.9137402899929,31.2046629478372,30.7464243018115,31.6655559469022,129
31.3458021936643,30.8125885280822,31.8790158592465,31.1231444241105,30.6482659327961,31.6555322495265,129
31.4104567109921,30.8876007839322,31.9333126380521,31.2127770745548,30.7843647585978,31.7000010500448,127
31.4338468493238,30.9079811119208,31.9597125867268,31.226229866404,30.7567661446684,31.7479881246176,126
31.4547057076881,30.9297377163325,31.9796736990437,31.2324148142936,30.7806393378264,31.7511714052565,126
31.39476780886,30.8745841739431,31.9149514437769,31.2121150219956,30.7256057290315,31.7671291233799,125
31.5496349431718,31.033209627539,32.0660602588046,31.3252289199855,30.8345035094065,31.9056135611227,124
31.5873456689815,31.0792761701304,32.0954151678325,31.3776606736036,30.8886979792553,31.9096885446793,124
31.4424554967301,30.9194019952222,31.965508998238,31.2176949388067,30.7473878794109,31.7464007940572,123
31.466923038239,30.9605651200274,31.9732809564506,31.2378757917095,30.7816523070207,31.7188021089706,123
31.4079543505727,30.9094552941943,31.9064534069512,31.1979001710709,30.7511826957036,31.6813221427398,121
31.4963254506512,31.0011135871941,31.9915373141083,31.3063555362628,30.878534163763,31.7722048911799,121
31.55747980638,31.055954862547,32.059004750213,31.3291437652639,30.9121072346943,31.7877647729736,120
31.7042876037269,31.1895773937879,32.2189978136659,31.502707399261,31.0490796878456,31.9804074787568,119
31.5912583145765,31.0672118162953,32.1153048128576,31.3711145356138,30.93165160789,31.8464152648244,119
31.4681107254924,30.9509933943028,31.9852280566821,31.2937292547069,30.8361548793806,31.7798341460074,119
31.5576149191328,31.0401981318583,32.0750317064073,31.3330559695452,30.9094183252852,31.8390488060349,119
31.5571086539739,30.9948626930312,32.1193546149167,31.3959649326054,30.9134527584627,31.9379508316334,119
31.5341613484857,30.9745059293322,32.0938167676393,31.345648556744,30.8608066355146,31.8568281100774,119
31.6380255642449,31.0950221964382,32.1810289320517,31.3926101116133,30.9123267478163,31.923141162776,118
31.596822993606,31.0512908739015,32.1423551133105,31.4457051824808,30.960370926441,31.945445212364,117
31.698875812235,31.1509009366593,32.2468506878108,31.5907848593495,31.1138928537205,32.0702446411927,117
31.6510296805474,31.1056254704677,32.1964338906271,31.5132412302811,31.0827401029723,31.9735499191801,116
31.575239947206,31.070387374738,32.0800925196741,31.5432561527442,31.0933843538034,32.0095699395861,116
31.472483626731,30.9416095675645,32.0033576858975,31.4278053871713,30.9667832985352,31.9079837859555,116
31.5855738152078,31.074072124243,32.0970755061727,31.4817052416517,31.041999994352,31.9437027288035,115
31.6278590376261,31.0972985354322,32.15841953982,31.4798191065006,31.0087257945488,31.9654675557095,115
31.6087164407842,31.0497276688928,32.1677052126756,31.4414837551997,30.9685350904346,31.9281646185241,114
31.5702284642661,31.0463699765657,32.0940869519664,31.5011421154545,31.0428518063498,31.9699633479515,112
31.625348837842,31.1146229561327,32.1360747195513,31.5355758638057,31.0263851158997,32.0437786227027,112
31.6007069888009,31.0558906103919,32.1455233672099,31.441415910724,30.9487479760166,31.9650682922382,111
31.720453811445,31.1587729502441,32.282134672646,31.5875704617884,31.0835696800278,32.1137799866814,111
