p,times1,team_times1,won1,team_won1,last,max_times12,mean
143911,900,115,480,68,2008-02-20 20:12:04,10,27.9445929508
143912,900,58,306,21,2009-02-12 04:21:21,13,30.5958225081
143972,900,189,246,55,2007-12-15 20:51:26,7,29.9104257106
144020,900,68,482,38,2007-12-23 09:43:13,45,31.2853869404
144043,900,32,341,16,2009-01-15 00:25:49,7,30.9308776412
144146,900,271,339,99,2009-02-12 18:04:00,17,30.1406429595
144340,900,73,377,37,2008-08-06 04:29:28,9,28.7334216657
144354,900,11,181,3,2007-12-25 04:39:23,1,23.9666447558
144437,900,2,214,0,2008-03-09 05:23:01,1,29.402017295
144490,900,832,621,609,2008-07-09 20:33:54,71,32.664021417
144493,900,4,441,2,2008-05-21 21:54:12,2,28.645302352
144542,900,2,224,0,2008-06-10 21:37:36,1,31.5639390422
144646,900,163,243,76,2008-08-10 10:03:26,108,27.2280309816
144690,900,53,391,18,2009-03-10 12:03:09,6,29.4750106911
144977,900,119,314,67,2009-02-18 23:31:31,75,32.3442361073
144978,900,85,361,25,2008-03-23 22:10:45,2,31.2306291082
144991,900,7,382,4,2008-06-30 18:35:51,2,30.5170703695
145103,900,16,351,3,2009-04-01 06:08:16,1,30.9151078138
145147,900,87,266,22,2008-01-19 01:12:45,3,30.5492247435
145169,900,19,216,7,2008-01-17 00:09:02,5,31.4876528635
145239,900,129,407,71,2008-04-27 00:29:55,15,30.9146318715
145258,900,56,401,24,2008-05-29 02:47:33,31,28.8063973769
145384,900,77,475,47,2009-01-27 21:50:17,4,31.1217745583
145429,900,77,190,19,2008-03-18 01:10:14,2,27.6050888326
145485,900,33,229,8,2008-09-28 15:18:17,2,27.2923340504
145601,900,397,226,164,2009-01-13 03:08:20,25,30.1314322465
145675,900,3,180,1,2008-03-15 18:55:33,1,29.1896401962
145680,900,469,442,299,2009-03-02 14:31:56,308,31.9065673149
145767,900,352,483,227,2008-03-13 19:42:04,36,33.177885241
145948,900,92,263,37,2008-07-28 01:06:24,3,27.9227738046
145972,900,17,428,7,2008-07-16 01:43:13,1,29.4090545399
146066,900,307,302,177,2008-04-13 01:07:50,37,30.9269975762
146094,900,19,447,8,2008-04-09 16:02:41,12,31.2746687035
146134,900,105,445,60,2008-07-09 15:24:06,5,29.7557063463
146159,900,15,389,5,2008-02-16 00:44:16,1,29.0338533743
146227,900,130,370,52,2007-11-25 08:45:52,8,31.1065666213
146236,900,113,257,47,2008-10-07 03:54:09,11,32.0058622836
146295,900,14,445,3,2008-04-08 22:11:51,5,30.3525400237
146679,900,21,239,8,2008-07-18 05:09:08,9,29.1306709945
146693,900,662,671,519,2008-09-17 21:41:42,146,33.1188971677
146745,900,20,295,4,2008-01-16 03:44:56,2,31.1409695468
146879,900,1,282,1,2007-12-28 10:02:43,1,30.8078007854
146950,900,121,362,51,2008-09-25 11:14:08,4,29.6712436994
147011,900,18,207,5,2008-11-19 02:53:46,1,25.5988740035
147089,900,72,205,29,2008-03-09 14:01:20,12,30.0050302508
147166,900,66,148,30,2008-04-24 00:12:25,55,29.3461817178
147233,900,115,498,73,2008-01-30 17:28:45,78,31.2060155448
147260,900,515,346,255,2008-07-10 19:47:22,16,30.240540894
147391,900,24,266,10,2008-06-04 17:51:30,2,28.9999019834
147435,900,35,325,14,2008-02-21 05:36:15,2,28.1189331733
147657,900,178,297,97,2008-04-10 04:48:42,10,30.247404657
147729,900,20,190,4,2009-05-31 21:00:43,2,28.0365915953
147807,900,2,368,0,2008-03-03 17:36:12,1,29.6450147091
147812,900,102,319,40,2008-03-06 12:43:15,8,31.0575814915
147841,900,116,469,64,2008-06-07 09:29:03,30,29.9607965419
148003,900,73,341,14,2008-01-22 20:02:24,2,31.1215584839
148071,900,185,229,61,2008-09-04 15:28:07,143,29.8141478261
148235,900,474,330,165,2008-05-15 02:22:54,14,29.6044463179
148271,900,670,563,449,2008-12-29 17:42:21,205,31.5180320211
148333,900,42,288,22,2007-12-31 18:45:42,18,29.1576061423
148504,900,17,337,8,2008-09-10 18:19:20,6,30.2295500145
148527,900,140,244,59,2008-10-28 22:48:17,81,29.9706341205
148529,900,228,281,96,2008-09-04 13:40:19,90,29.7422916129
148552,900,30,213,12,2008-06-10 12:06:51,14,31.4768742859
148611,900,2,531,1,2009-04-17 12:25:11,1,31.6476468444
148616,900,567,487,379,2008-09-24 14:49:10,235,32.2090337065
148637,900,48,411,11,2008-04-02 23:21:41,2,32.1099074795
148642,900,161,241,109,2008-08-02 15:04:01,29,32.4199534667
148649,900,107,215,35,2008-02-19 15:59:54,11,29.880659826
148674,900,310,447,167,2009-01-22 16:29:54,168,32.3365305521
148709,900,78,313,43,2008-05-07 23:47:31,2,29.2008605141
148775,900,435,434,276,2009-05-04 21:04:00,41,30.3145879749
148841,900,22,306,6,2008-01-26 21:24:42,2,30.8334272231
149042,900,157,243,71,2009-02-19 21:43:38,43,30.9310627702
149239,900,559,475,340,2009-01-28 22:17:20,241,33.8737039872
